
Begin Step 0, Time: 0.0909091, Redshift: 10, Systemstep: 0, Dloga: 0
Begin Step 185, Time: 0.379287, Redshift: 1.63652, Systemstep: 0.000887136, Dloga: 0.00234169

Begin Step 186, Time: 0.380176, Redshift: 1.63036, Systemstep: 0.000889216, Dloga: 0.00234169

Begin Step 187, Time: 0.381068, Redshift: 1.62421, Systemstep: 0.0008913, Dloga: 0.00234169

Begin Step 188, Time: 0.381961, Redshift: 1.61807, Systemstep: 0.00089339, Dloga: 0.00234169

Begin Step 189, Time: 0.382857, Redshift: 1.61194, Systemstep: 0.000895484, Dloga: 0.00234169

Begin Step 190, Time: 0.383754, Redshift: 1.60583, Systemstep: 0.000897584, Dloga: 0.00234169

Begin Step 191, Time: 0.384654, Redshift: 1.59974, Systemstep: 0.000899688, Dloga: 0.00234169

Begin Step 192, Time: 0.385556, Redshift: 1.59366, Systemstep: 0.000901797, Dloga: 0.00234169

Begin Step 193, Time: 0.38646, Redshift: 1.58759, Systemstep: 0.000903912, Dloga: 0.00234169

Begin Step 194, Time: 0.387366, Redshift: 1.58154, Systemstep: 0.000906031, Dloga: 0.00234169

Begin Step 195, Time: 0.388274, Redshift: 1.5755, Systemstep: 0.000908155, Dloga: 0.00234169

Begin Step 196, Time: 0.389184, Redshift: 1.56948, Systemstep: 0.000910284, Dloga: 0.00234169

Begin Step 197, Time: 0.390096, Redshift: 1.56347, Systemstep: 0.000912418, Dloga: 0.00234169

Begin Step 198, Time: 0.391011, Redshift: 1.55747, Systemstep: 0.000914557, Dloga: 0.00234169

Begin Step 199, Time: 0.391928, Redshift: 1.55149, Systemstep: 0.000916701, Dloga: 0.00234169

Begin Step 200, Time: 0.392847, Redshift: 1.54552, Systemstep: 0.00091885, Dloga: 0.00234169

Begin Step 201, Time: 0.393768, Redshift: 1.53957, Systemstep: 0.000921005, Dloga: 0.00234169

Begin Step 202, Time: 0.394691, Redshift: 1.53363, Systemstep: 0.000923164, Dloga: 0.00234169

Begin Step 203, Time: 0.395616, Redshift: 1.5277, Systemstep: 0.000925328, Dloga: 0.00234169

Begin Step 204, Time: 0.396544, Redshift: 1.52179, Systemstep: 0.000927498, Dloga: 0.00234169

Begin Step 205, Time: 0.397473, Redshift: 1.51589, Systemstep: 0.000929672, Dloga: 0.00234169

Begin Step 206, Time: 0.398405, Redshift: 1.51001, Systemstep: 0.000931852, Dloga: 0.00234169

Begin Step 207, Time: 0.399339, Redshift: 1.50414, Systemstep: 0.000934036, Dloga: 0.00234169

Begin Step 208, Time: 0.400275, Redshift: 1.49828, Systemstep: 0.000936226, Dloga: 0.00234169

Begin Step 209, Time: 0.401214, Redshift: 1.49244, Systemstep: 0.000938421, Dloga: 0.00234169

Begin Step 210, Time: 0.402154, Redshift: 1.48661, Systemstep: 0.000940621, Dloga: 0.00234169

Begin Step 211, Time: 0.403097, Redshift: 1.48079, Systemstep: 0.000942826, Dloga: 0.00234169

Begin Step 212, Time: 0.404042, Redshift: 1.47499, Systemstep: 0.000945037, Dloga: 0.00234169

Begin Step 213, Time: 0.40499, Redshift: 1.4692, Systemstep: 0.000947252, Dloga: 0.00234169

Begin Step 214, Time: 0.405939, Redshift: 1.46342, Systemstep: 0.000949473, Dloga: 0.00234169

Begin Step 215, Time: 0.406891, Redshift: 1.45766, Systemstep: 0.000951699, Dloga: 0.00234169

Begin Step 216, Time: 0.407845, Redshift: 1.45191, Systemstep: 0.00095393, Dloga: 0.00234169

Begin Step 217, Time: 0.408801, Redshift: 1.44618, Systemstep: 0.000956167, Dloga: 0.00234169

Begin Step 218, Time: 0.409759, Redshift: 1.44046, Systemstep: 0.000958408, Dloga: 0.00234169

Begin Step 219, Time: 0.41072, Redshift: 1.43475, Systemstep: 0.000960655, Dloga: 0.00234169

Begin Step 220, Time: 0.411683, Redshift: 1.42905, Systemstep: 0.000962907, Dloga: 0.00234169

Begin Step 221, Time: 0.412648, Redshift: 1.42337, Systemstep: 0.000965165, Dloga: 0.00234169

Begin Step 222, Time: 0.413615, Redshift: 1.41771, Systemstep: 0.000967428, Dloga: 0.00234169

Begin Step 223, Time: 0.414585, Redshift: 1.41205, Systemstep: 0.000969696, Dloga: 0.00234169

Begin Step 224, Time: 0.415557, Redshift: 1.40641, Systemstep: 0.000971969, Dloga: 0.00234169

Begin Step 225, Time: 0.416531, Redshift: 1.40078, Systemstep: 0.000974248, Dloga: 0.00234169

Begin Step 226, Time: 0.417508, Redshift: 1.39516, Systemstep: 0.000976532, Dloga: 0.00234169

Begin Step 227, Time: 0.418487, Redshift: 1.38956, Systemstep: 0.000978821, Dloga: 0.00234169

Begin Step 228, Time: 0.419468, Redshift: 1.38397, Systemstep: 0.000981116, Dloga: 0.00234169

Begin Step 229, Time: 0.420451, Redshift: 1.3784, Systemstep: 0.000983416, Dloga: 0.00234169

Begin Step 230, Time: 0.421437, Redshift: 1.37283, Systemstep: 0.000985722, Dloga: 0.00234169

Begin Step 231, Time: 0.422425, Redshift: 1.36728, Systemstep: 0.000988033, Dloga: 0.00234169

Begin Step 232, Time: 0.423415, Redshift: 1.36175, Systemstep: 0.000990349, Dloga: 0.00234169

Begin Step 233, Time: 0.424408, Redshift: 1.35622, Systemstep: 0.000992671, Dloga: 0.00234169

Begin Step 234, Time: 0.425403, Redshift: 1.35071, Systemstep: 0.000994998, Dloga: 0.00234169

