
Begin Step 0, Time: 0.00909085, Redshift: 109.001, Systemstep: 0, Dloga: 0
Begin Step 229, Time: 0.0558539, Redshift: 16.9038, Systemstep: 0.000128047, Dloga: 0.00229516

Begin Step 230, Time: 0.0559823, Redshift: 16.8628, Systemstep: 0.000128341, Dloga: 0.00229516

Begin Step 231, Time: 0.0561109, Redshift: 16.8219, Systemstep: 0.000128636, Dloga: 0.00229516

Begin Step 232, Time: 0.0562398, Redshift: 16.781, Systemstep: 0.000128931, Dloga: 0.00229516

Begin Step 233, Time: 0.0563691, Redshift: 16.7402, Systemstep: 0.000129228, Dloga: 0.00229516

Begin Step 234, Time: 0.0564986, Redshift: 16.6996, Systemstep: 0.000129525, Dloga: 0.00229516

Begin Step 235, Time: 0.0566284, Redshift: 16.659, Systemstep: 0.000129822, Dloga: 0.00229516

Begin Step 236, Time: 0.0567585, Redshift: 16.6185, Systemstep: 0.00013012, Dloga: 0.00229516

Begin Step 237, Time: 0.0568889, Redshift: 16.5781, Systemstep: 0.000130419, Dloga: 0.00229516

Begin Step 238, Time: 0.0570197, Redshift: 16.5378, Systemstep: 0.000130719, Dloga: 0.00229516

Begin Step 239, Time: 0.0571507, Redshift: 16.4976, Systemstep: 0.00013102, Dloga: 0.00229516

Begin Step 240, Time: 0.057282, Redshift: 16.4575, Systemstep: 0.000131321, Dloga: 0.00229516

Begin Step 241, Time: 0.0574136, Redshift: 16.4175, Systemstep: 0.000131622, Dloga: 0.00229516

Begin Step 242, Time: 0.0575455, Redshift: 16.3775, Systemstep: 0.000131925, Dloga: 0.00229516

Begin Step 243, Time: 0.0576778, Redshift: 16.3377, Systemstep: 0.000132228, Dloga: 0.00229516

Begin Step 244, Time: 0.0578103, Redshift: 16.298, Systemstep: 0.000132532, Dloga: 0.00229516

Begin Step 245, Time: 0.0579431, Redshift: 16.2583, Systemstep: 0.000132836, Dloga: 0.00229516

Begin Step 246, Time: 0.0580763, Redshift: 16.2187, Systemstep: 0.000133141, Dloga: 0.00229516

